Energy,D20,D80 ,D90
245MeV,372.367,366.667,365.55
240MeV,359.55,354.067,352.967
230MeV,334.85,329.467,328.367
220MeV,310.867,305.58,304.517
210MeV,287.117,281.8,280.733
200MeV,264.5,259.3,258.233
190MeV,242.35,237.217,236.2
180MeV,220.783,215.9,214.9
170MeV,200.367,195.7,194.767
160MeV,180.483,176.167,175.3
150MeV,161.367,157.483,156.667
140MeV,143.083,139.4,138.7
130MeV,125.683,122.4,121.733
120MeV,108.967,106.15,105.567
110MeV,93.8,91.2,90.65
100MeV,79.3,77,76.5
90MeV,65.85,63.9,63.5
80MeV,53.317,51.717,51.4
70MeV,42.2,40.817,40.5
