Energy,D20,D80,D90
245MeV,372.1197,366.839,365.7403
240MeV,359.4633,354.3506,353.2688
230MeV,334.9744,329.9325,328.8677
220MeV,310.4869,305.5543,304.5188
210MeV,287.0634,282.2034,281.1972
200MeV,264.3504,259.6256,258.6414
190MeV,242.2839,237.6437,236.6532
180MeV,221.0633,216.4326,215.4729
170MeV,200.3424,195.9703,195.0421
160MeV,180.4256,176.3014,175.4238
150MeV,161.3154,157.4936,156.7062
140MeV,143.0961,139.5692,138.8364
130MeV,125.6672,122.4803,121.8097
120MeV,109.261,106.3888,105.7739
110MeV,93.91958,91.26672,90.69101
100MeV,79.5162,77.13787,76.6184
90MeV,65.81899,63.86207,63.44522
80MeV,53.1612,51.57161,51.23238
70MeV,42.14013,40.77588,40.47196
